# le narma2 narma10 narma20 N M k_b k_t g_b g_t
-0.303626 0.000040 0.006633 0.003408 49 84 100.000000 3000.000000 0.000100 0.001000
-0.201113 0.000033 0.007648 0.003814 49 84 100.000000 3000.000000 0.000100 0.001000
-0.226201 0.000055 0.006981 0.005089 49 84 100.000000 3000.000000 0.000100 0.001000
-0.219850 0.000063 0.013665 0.004757 49 84 100.000000 3000.000000 0.000100 0.001000
-0.392260 0.000048 0.009168 0.004599 49 84 100.000000 3000.000000 0.000100 0.001000
-0.251944 1.000000 1.000000 29115003332753980676812521773757214529788368592240486058269224817444971186470518784.000000 49 84 100.000000 3000.000000 0.000100 0.001000
-0.197348 0.000968 0.875548 0.222891 49 84 100.000000 3000.000000 0.000100 0.001000
-0.413778 160162315933517179356999200816176213125920188268544.000000 1.000000 144336218915720505367092724541590630072311961834487808.000000 49 84 100.000000 3000.000000 0.000100 0.001000
0.165686 0.001921 0.697311 0.511740 49 84 100.000000 3000.000000 0.000100 0.001000
-0.287981 0.000055 0.006149 0.002737 49 84 100.000000 3000.000000 0.000100 0.001000
-0.337192 324847769483306189779293436434319213367385187741403080337552590430397839467085824.000000 407453570163082227763790156120044030620785907736447396722629377970069028366496825344.000000 80959669243508827887671925305370428678886408404240006582047766880447035224098865152.000000 49 84 100.000000 3000.000000 0.000100 0.001000
-0.222423 0.000053 0.012136 0.005462 49 84 100.000000 3000.000000 0.000100 0.001000
-0.401812 0.000053 0.010289 0.004981 49 84 100.000000 3000.000000 0.000100 0.001000
-0.220927 0.000060 0.021354 0.016879 49 84 100.000000 3000.000000 0.000100 0.001000
-0.317886 0.000182 0.013035 0.004265 49 84 100.000000 3000.000000 0.000100 0.001000
-0.318208 1.000000 1.000000 3133194249159276040097212355137213360472090864406713898312574156638613200628088832.000000 49 84 100.000000 3000.000000 0.000100 0.001000
-0.208788 0.000054 0.012783 0.003309 49 84 100.000000 3000.000000 0.000100 0.001000
-0.227166 16852532931687558255291266494953614390919306859043657427988824558267234411295539200.000000 2466671229230120593447745604773784017940719117851782456867341030517299870577983488.000000 11709945250763917882773141474010967232735686318419136154945895914999045082674691571712.000000 49 84 100.000000 3000.000000 0.000100 0.001000
-0.179004 0.000036 0.011423 0.003977 49 84 100.000000 3000.000000 0.000100 0.001000
-0.220339 89050247659035551805568305390351216554499565944832.000000 13610305638230867033981316968186909657846029507100672.000000 52908245246293791939898585259694450746245000084848640.000000 49 84 100.000000 3000.000000 0.000100 0.001000
-0.410452 0.000038 0.013833 0.005683 49 84 100.000000 3000.000000 0.000100 0.001000
-0.244765 135176994647888511755743036235881790294979887759360.000000 1.000000 1.000000 49 84 100.000000 3000.000000 0.000100 0.001000
-0.174483 0.000044 0.010174 0.003426 49 84 100.000000 3000.000000 0.000100 0.001000
-0.252381 0.000038 0.012423 0.005095 49 84 100.000000 3000.000000 0.000100 0.001000
-0.323375 203029855927066362030040168486625339734739012108974905280026906484679196272492544.000000 1.000000 25065050633188772766061685592191305156022292648946709335833529329792005821169664.000000 49 84 100.000000 3000.000000 0.000100 0.001000
-0.169859 0.000042 0.008716 0.004272 49 84 100.000000 3000.000000 0.000100 0.001000
