10000 0.180976  0.227086  0.209167 0.184692 0.226074 0.211182
10001 0.180789  0.234243  0.213389 0.184692 0.232422 0.216064
10002 0.180860  0.240584  0.218272 0.184692 0.238281 0.221436
10003 0.181184  0.245843  0.223650 0.184692 0.242676 0.225830
10004 0.181737  0.249784  0.229315 0.185181 0.246582 0.231934
10005 0.182480  0.252228  0.235026 0.185181 0.250488 0.236816
10006 0.183364  0.253055  0.240530 0.185547 0.248535 0.241699
10007 0.184334  0.252219  0.245573 0.185669 0.249512 0.245117
10008 0.185335  0.249750  0.249922 0.186523 0.246094 0.249268
10009 0.186316  0.245758  0.253377 0.186890 0.244141 0.251221
10010 0.187236  0.240424  0.255786 0.187134 0.238770 0.253418
10011 0.188061  0.233993  0.257056 0.187378 0.232910 0.254150
10012 0.188772  0.226754  0.257157 0.187622 0.225586 0.253418
10013 0.189362  0.219026  0.256124 0.188232 0.218262 0.252197
10014 0.189831  0.211133  0.254057 0.188477 0.209473 0.250244
10015 0.190190  0.203381  0.251108 0.188354 0.204102 0.248291
10016 0.190454  0.196040  0.247478 0.189209 0.195801 0.245117
10017 0.190640  0.189327  0.243393 0.189819 0.187988 0.242188
10018 0.190766  0.183396  0.239096 0.189453 0.183594 0.238770
10019 0.190849  0.178334  0.234824 0.190308 0.177246 0.235840
10020 0.190901  0.174164  0.230794 0.190430 0.172363 0.232666
10021 0.190934  0.170853  0.227186 0.190552 0.168457 0.227783
10022 0.190953  0.168320  0.224134 0.190674 0.166504 0.226807
10023 0.190965  0.166458  0.221713 0.190674 0.165039 0.223145
10024 0.190972  0.165139  0.219942 0.190796 0.163574 0.220703
10025 0.190976  0.164235  0.218787 0.191772 0.163086 0.220459
10026 0.190979  0.163625  0.218163 0.191040 0.161621 0.218994
10027 0.190981  0.163206  0.217951 0.190674 0.162109 0.218262
10028 0.190982  0.162896  0.218009 0.190918 0.163086 0.217529
10029 0.190982  0.162640  0.218191 0.190796 0.163086 0.216064
10030 0.190982  0.162404  0.218357 0.191040 0.164551 0.216553
10031 0.190981  0.162177  0.218392 0.190918 0.165527 0.215820
10032 0.190979  0.161966  0.218211 0.190552 0.166016 0.214600
