#le narma2 narma10 narma20 N M
-0.053916 0.000034 0.016798 0.006312 36 60
-0.021694 0.000035 0.012553 0.003004 36 60
-0.007319 0.000026 0.017539 0.007807 36 60
0.002391 0.000033 0.010060 0.004318 36 60
-0.008179 0.000028 0.010996 0.006051 36 60
-0.021155 0.000031 0.011877 0.003310 36 60
-0.016932 0.000037 0.013057 0.005300 36 60
-0.009082 0.000029 0.010456 0.004799 36 60
-0.021285 0.000027 0.017725 0.003788 36 60
-0.014916 0.000050 0.015480 0.005258 36 60
-0.009966 0.000068 0.082287 0.027589 36 60
-0.014512 0.000040 0.017757 0.004963 36 60
-0.017204 0.000031 0.017993 0.008872 36 60
-0.028931 0.000040 0.012800 0.004648 36 60
-0.029568 0.000051 0.021138 0.005587 36 60
-0.023013 0.000036 0.019514 0.004542 36 60
-0.024026 0.000206 0.194339 0.098856 36 60
-0.013990 0.000034 0.014692 0.004434 36 60
-0.009663 0.000038 0.014801 0.004824 36 60
-0.019670 0.000050 0.015227 0.007896 36 60
-0.017175 0.000030 0.019287 0.005649 36 60
-0.013674 0.000065 0.084403 0.027452 36 60
-0.015628 0.000035 0.016597 0.004647 36 60
-0.044112 0.000032 0.014732 0.010379 36 60
-0.030842 0.000038 0.011756 0.005208 36 60
-0.023595 0.000060 0.011050 0.007541 36 60
-0.047055 0.000060 0.013137 0.004061 36 60
-0.006384 0.000075 0.018661 0.006193 36 60
-0.008863 0.000036 0.022527 0.005581 36 60
-0.033897 0.000038 0.012358 0.004864 36 60
-0.034384 0.000037 0.013078 0.004820 36 60
-0.027348 0.000041 0.018611 0.004852 36 60
-0.014159 0.000051 0.020675 0.011613 36 60
-0.028428 0.000035 0.011264 0.004114 36 60
-0.025964 0.000054 0.013538 0.004063 36 60
-0.032679 0.000035 0.014248 0.005026 36 60
-0.033455 0.000051 0.016580 0.006399 36 60
-0.018522 0.000028 0.012895 0.004512 36 60
-0.038914 0.000033 0.015663 0.004453 36 60
-0.008942 0.000052 0.016507 0.007097 36 60
-0.013115 0.000084 0.028247 0.038489 36 60
-0.038269 0.000240 0.100506 0.061747 36 60
-0.010958 0.000035 0.015639 0.006828 36 60
-0.025600 0.000025 0.014533 0.004147 36 60
-0.010293 0.000164 0.047388 0.022353 36 60
-0.024190 0.000138 0.122806 0.009232 36 60
-0.023321 0.000044 0.014057 0.005615 36 60
-0.007754 0.000071 0.045083 0.036212 36 60
-0.015704 0.000033 0.012393 0.004459 36 60
-0.025779 0.000026 0.011366 0.004712 36 60
-0.011027 0.000033 0.015918 0.005261 36 60
-0.019527 0.000036 0.011163 0.004372 36 60
-0.005121 0.000043 0.011776 0.004942 36 60
-0.010743 0.000039 0.033766 0.004234 36 60
-0.017415 0.000031 0.015074 0.003800 36 60
-0.013630 0.000102 0.056844 0.032447 36 60
-0.032912 0.000042 0.014733 0.003825 36 60
-0.005302 0.000030 0.011619 0.004620 36 60
-0.005086 0.000039 0.014756 0.004955 36 60
-0.030871 0.000099 0.017570 0.005590 36 60
-0.032379 0.000037 0.013253 0.004678 36 60
-0.009879 0.000038 0.010079 0.004048 36 60
-0.018587 0.000041 0.011241 0.004989 36 60
-0.029712 0.000032 0.015549 0.004770 36 60
-0.010008 0.000030 0.016948 0.005536 36 60
-0.014719 0.000036 0.010750 0.003390 36 60
-0.006348 0.000031 0.009750 0.005754 36 60
-0.029086 0.000032 0.018793 0.005837 36 60
-0.032231 0.000027 0.017651 0.005137 36 60
-0.016927 0.000055 0.015951 0.004689 36 60
-0.034902 0.000035 0.019791 0.005125 36 60
-0.006258 0.000044 0.012573 0.004213 36 60
-0.013160 0.000031 0.013500 0.004989 36 60
-0.014627 0.000047 0.012404 0.005162 36 60
-0.011996 0.000042 0.009135 0.003536 36 60
-0.002912 0.000034 0.009864 0.002883 36 60
-0.012901 0.000035 0.012248 0.005384 36 60
-0.014553 0.000075 0.021065 0.007197 36 60
-0.016023 0.000047 0.012476 0.006384 36 60
-0.012432 0.000039 0.010301 0.004587 36 60
-0.039119 0.000044 0.013250 0.006337 36 60
-0.003594 0.000028 0.015459 0.005267 36 60
-0.007905 0.000136 0.119283 0.009445 36 60
-0.007044 0.000043 0.028380 0.014799 36 60
-0.007762 0.000086 0.619231 0.054829 36 60
-0.022226 0.000035 0.012908 0.004793 36 60
-0.016911 0.000031 0.013245 0.004788 36 60
-0.004806 0.000032 0.014043 0.006189 36 60
-0.019464 0.000029 0.011596 0.007813 36 60
-0.019803 0.000037 0.012424 0.004432 36 60
-0.024588 0.000110 0.061677 0.008994 36 60
-0.027182 0.000032 0.012457 0.004999 36 60
-0.010256 0.000036 0.014543 0.005245 36 60
-0.029824 0.000036 0.012872 0.005026 36 60
-0.034883 0.000037 0.022560 0.015195 36 60
-0.013269 0.000071 0.111793 0.038160 36 60
-0.027996 0.000034 0.012380 0.004706 36 60
-0.042830 0.000037 0.030564 0.015118 36 60
-0.005376 0.000195 0.164981 0.092639 36 60
-0.036000 0.000029 0.029437 0.018933 36 60
-0.010813 0.001202 0.294147 0.051480 100 180
-0.013232 0.000464 0.069189 0.027419 100 180
-0.017366 0.000919 0.043032 0.025499 100 180
-0.012338 0.002406 0.739222 0.659014 100 180
-0.007949 0.000781 0.060615 0.103287 100 180
-0.009832 0.000173 0.103805 0.044526 100 180
-0.029501 0.000358 0.070334 0.031746 100 180
-0.004584 0.000192 0.308401 0.265523 100 180
-0.032291 0.000964 0.094719 0.012582 100 180
-0.001888 0.000148 0.063716 0.069748 100 180
-0.016960 0.001978 0.222518 0.093669 100 180
-0.007595 0.000433 0.047668 0.041120 100 180
-0.007723 0.000206 0.047820 0.017767 100 180
-0.026195 0.000243 0.344848 0.105370 100 180
-0.015595 0.000218 0.060521 0.028476 100 180
-0.014968 0.000235 0.053792 0.012984 100 180
-0.015811 0.002347 1.412575 0.640729 100 180
-0.012552 0.000092 0.027129 0.016111 100 180
-0.005643 0.000575 0.268589 0.103901 100 180
-0.010295 0.000201 0.052358 0.013446 100 180
-0.014195 0.000532 0.058504 0.027184 100 180
-0.010232 0.000343 0.083246 0.016398 100 180
-0.030429 0.000257 0.035597 0.015397 100 180
-0.009396 0.005516 0.982014 0.205297 100 180
-0.010754 0.000545 0.154638 0.079416 100 180
-0.016247 0.000402 0.040811 0.013272 100 180
-0.022482 0.000172 0.079838 0.015978 100 180
-0.019765 0.001629 0.505788 0.117376 100 180
-0.028511 0.000135 0.041544 0.014109 100 180
-0.023082 0.000226 0.030200 0.021249 100 180
-0.007363 0.001040 0.086396 0.033515 100 180
-0.020427 0.000103 0.045523 0.011369 100 180
-0.011300 0.000160 0.088992 0.030640 100 180
-0.020789 0.000151 0.069680 0.024719 100 180
-0.018339 0.000528 0.342590 0.014986 100 180
-0.022810 0.000292 0.050393 0.024683 100 180
-0.017387 0.000143 0.039401 0.020252 100 180
-0.020039 0.000355 0.101410 0.024085 100 180
-0.006007 0.000552 0.096868 0.086764 100 180
-0.020071 0.000130 0.025433 0.009727 100 180
-0.008376 0.000414 0.378664 0.101944 100 180
-0.023913 0.001787 0.774406 0.066091 100 180
-0.027503 0.000236 0.105794 0.031222 100 180
-0.034268 0.001467 0.143863 0.045052 100 180
-0.017821 0.000114 0.154835 0.134078 100 180
-0.012093 0.000857 0.315319 0.260787 100 180
-0.005548 0.000254 0.075555 0.090931 100 180
-0.031220 0.000217 0.057301 0.025924 100 180
-0.021293 0.000073 0.023572 0.013484 100 180
-0.021864 0.000345 0.142420 0.038455 100 180
-0.014312 0.000356 0.136673 0.153705 100 180
-0.020564 0.000226 0.032828 0.017261 100 180
-0.030065 0.002329 0.105263 0.021318 100 180
-0.003953 0.000118 0.029212 0.005983 100 180
-0.014543 0.000458 0.248495 0.026967 100 180
-0.009841 0.001882 0.595124 0.079862 100 180
-0.022186 0.000085 0.033908 0.014453 100 180
-0.005863 0.000204 0.018205 0.008522 100 180
-0.004215 0.000831 0.068585 0.023803 100 180
-0.028869 0.000171 0.117882 0.030335 100 180
-0.011616 0.001123 0.241146 0.075328 100 180
-0.022976 0.000255 0.048522 0.066570 100 180
-0.010720 0.000282 0.107856 0.108361 100 180
-0.005836 0.000446 0.057226 0.095467 100 180
-0.009506 0.000857 0.119690 0.020610 100 180
-0.017741 0.000882 0.126656 0.014418 100 180
-0.023590 0.000357 0.220747 0.020935 100 180
-0.009520 0.000225 0.068047 0.050328 100 180
-0.035432 0.000233 0.068571 0.024236 100 180
-0.026056 0.004778 1.071918 0.779196 100 180
-0.009991 0.000371 0.081817 0.013915 100 180
-0.012268 0.001015 0.062282 0.036589 100 180
-0.010564 0.000442 0.046220 0.033980 100 180
-0.010012 0.000212 0.153640 0.065213 100 180
-0.006051 0.000268 0.056100 0.015880 100 180
-0.008917 0.000454 0.164310 0.012938 100 180
-0.009164 0.000427 0.063602 0.024504 100 180
-0.015319 0.000562 0.185690 0.043392 100 180
-0.027854 0.001990 0.096451 0.226328 100 180
-0.020842 0.000096 0.045340 0.016070 100 180
-0.004135 0.032346 9.072974 5.306138 100 180
-0.018601 0.000998 0.065689 0.029132 100 180
-0.007922 0.000390 0.280148 0.073100 100 180
-0.036507 0.000072 0.172910 0.044758 100 180
-0.014968 0.000108 0.100704 0.078358 100 180
-0.016655 0.000469 0.021870 0.009460 100 180
-0.020973 0.000452 0.084745 0.035926 100 180
-0.008050 0.000891 0.193583 0.135253 100 180
-0.018936 0.000425 0.145739 0.037130 100 180
-0.039284 0.000249 0.198067 0.014683 100 180
-0.012376 0.000905 0.072079 0.043775 100 180
-0.010108 0.000385 0.884654 0.852412 100 180
-0.017562 0.000336 0.076384 0.009920 100 180
-0.005965 0.000241 0.093909 0.020717 100 180
-0.018966 0.000075 0.018834 0.015551 100 180
-0.013208 0.000118 0.125312 0.091196 100 180
-0.032097 0.000121 0.037003 0.011754 100 180
-0.002830 0.000457 0.280394 0.051626 100 180
-0.042297 0.000194 0.033180 0.017967 100 180
-0.015745 0.000160 0.064562 0.009061 100 180
-0.015414 0.000037 0.011759 0.005807 36 60
-0.026442 0.000044 0.013617 0.002920 36 60
-0.018673 0.000028 0.018121 0.004514 36 60
-0.024590 0.000034 0.031622 0.004973 36 60
-0.019326 0.000044 0.020487 0.005751 36 60
-0.008570 0.000027 0.008475 0.003815 36 60
-0.020786 0.000027 0.012389 0.004475 36 60
-0.029774 0.000038 0.010081 0.004638 36 60
0.009813 0.000143 0.032853 0.029415 36 60
-0.036431 0.000030 0.013287 0.006299 36 60
-0.021557 0.000044 0.012947 0.005368 36 60
-0.005267 0.000058 0.084739 0.018265 36 60
-0.007706 0.000035 0.010755 0.004424 36 60
-0.010613 0.000118 0.028743 0.006688 36 60
-0.011771 0.000038 0.013199 0.005367 36 60
-0.020097 0.000033 0.012500 0.005270 36 60
-0.027441 0.000029 0.018701 0.005189 36 60
-0.030178 0.003821 0.121574 0.211923 36 60
-0.025444 0.000043 0.016567 0.005323 36 60
-0.016510 0.000049 0.015331 0.004743 36 60
-0.011848 0.000057 0.092831 0.031818 36 60
-0.016872 0.000043 0.011491 0.004885 36 60
-0.002841 0.000036 0.021340 0.003581 36 60
-0.060631 0.000052 0.013247 0.007610 36 60
0.003036 0.000029 0.011207 0.004138 36 60
-0.031311 0.000026 0.007439 0.003751 36 60
-0.011091 0.000040 0.014479 0.004947 36 60
0.071043 0.000104 0.034689 0.008029 36 60
-0.023448 0.000031 0.010679 0.004156 36 60
-0.009788 0.000056 0.014436 0.004322 36 60
-0.010415 0.000056 0.017017 0.004389 36 60
-0.045568 0.000056 0.008973 0.004715 36 60
-0.002473 0.000081 0.037575 0.014083 36 60
-0.030775 0.000041 0.019746 0.005381 36 60
-0.038608 0.000036 0.012516 0.004066 36 60
-0.012523 0.000047 0.018382 0.004503 36 60
-0.000497 0.000032 0.013165 0.004872 36 60
-0.028945 0.000051 0.021367 0.006573 36 60
-0.017286 0.000029 0.016973 0.006088 36 60
-0.054533 0.000029 0.012676 0.005016 36 60
-0.022434 0.000032 0.014595 0.005696 36 60
-0.019138 0.000031 0.019270 0.005970 36 60
