x[3] y[3]
1.000000 1.000000
1.000050 1.000050
1.000200 1.000200
1.000450 1.000450
1.000801 1.000801
1.001252 1.001252
1.001803 1.001803
1.002454 1.002454
1.003205 1.003205
1.004057 1.004057
1.005008 1.005008
1.006060 1.006060
1.007212 1.007212
1.008463 1.008463
1.009814 1.009814
1.011264 1.011264
1.012814 1.012814
1.014462 1.014462
1.016210 1.016210
1.018056 1.018056
1.020000 1.020000
1.022042 1.022042
1.024182 1.024182
1.026419 1.026419
1.028753 1.028753
1.031184 1.031184
1.033711 1.033711
1.036334 1.036334
1.039052 1.039052
1.041865 1.041865
1.044772 1.044772
1.047774 1.047774
1.050869 1.050869
1.054056 1.054056
1.057336 1.057336
1.060708 1.060708
1.064171 1.064171
1.067725 1.067725
1.071368 1.071368
1.075101 1.075101
1.078922 1.078922
1.082832 1.082832
1.086828 1.086828
1.090911 1.090911
1.095079 1.095079
1.099333 1.099333
1.103671 1.103671
1.108092 1.108092
1.112595 1.112595
1.117180 1.117180
1.121846 1.121846
1.126592 1.126592
1.131417 1.131417
1.136321 1.136321
1.141301 1.141301
1.146358 1.146358
1.151490 1.151490
1.156696 1.156696
1.161975 1.161975
1.167327 1.167327
1.172750 1.172750
1.178243 1.178243
1.183805 1.183805
1.189436 1.189436
1.195133 1.195133
1.200896 1.200896
1.206724 1.206724
1.212615 1.212615
1.218568 1.218568
1.224583 1.224583
1.230658 1.230658
1.236792 1.236792
1.242983 1.242983
1.249230 1.249230
1.255533 1.255533
1.261889 1.261889
1.268298 1.268298
1.274758 1.274758
1.281268 1.281268
1.287827 1.287827
1.294433 1.294433
1.301086 1.301086
1.307782 1.307782
1.314523 1.314523
1.321305 1.321305
1.328127 1.328127
1.334989 1.334989
1.341888 1.341888
1.348824 1.348824
1.355795 1.355795
1.362799 1.362799
1.369836 1.369836
1.376903 1.376903
1.383999 1.383999
1.391123 1.391123
1.398273 1.398273
1.405448 1.405448
1.412646 1.412646
1.419866 1.419866
1.427106 1.427106
1.434365 1.434365
1.441642 1.441642
1.448934 1.448934
1.456241 1.456241
1.463560 1.463560
1.470891 1.470891
1.478231 1.478231
1.485579 1.485579
1.492935 1.492935
1.500295 1.500295
1.507659 1.507659
1.515025 1.515025
1.522392 1.522392
1.529758 1.529758
1.537121 1.537121
1.544480 1.544480
1.551834 1.551834
1.559180 1.559180
1.566518 1.566518
1.573846 1.573846
1.581161 1.581161
1.588464 1.588464
1.595752 1.595752
1.603023 1.603023
1.610277 1.610277
1.617511 1.617511
1.624725 1.624725
1.631916 1.631916
1.639083 1.639083
1.646225 1.646225
1.653340 1.653340
1.660427 1.660427
1.667484 1.667484
1.674509 1.674509
1.681502 1.681502
1.688461 1.688461
1.695384 1.695384
1.702269 1.702269
1.709117 1.709117
1.715924 1.715924
1.722690 1.722690
1.729413 1.729413
1.736092 1.736092
1.742725 1.742725
1.749311 1.749311
1.755849 1.755849
1.762338 1.762338
1.768775 1.768775
1.775160 1.775160
1.781491 1.781491
1.787768 1.787768
1.793988 1.793988
1.800150 1.800150
1.806254 1.806254
1.812297 1.812297
1.818280 1.818280
1.824200 1.824200
1.830056 1.830056
1.835847 1.835847
1.841572 1.841572
1.847230 1.847230
1.852819 1.852819
1.858339 1.858339
1.863788 1.863788
1.869166 1.869166
1.874471 1.874471
1.879702 1.879702
1.884857 1.884857
1.889937 1.889937
1.894941 1.894941
1.899866 1.899866
1.904712 1.904712
1.909478 1.909478
1.914164 1.914164
1.918768 1.918768
1.923289 1.923289
1.927727 1.927727
1.932081 1.932081
1.936349 1.936349
1.940532 1.940532
1.944628 1.944628
1.948636 1.948636
1.952556 1.952556
1.956387 1.956387
1.960129 1.960129
1.963780 1.963780
1.967340 1.967340
1.970808 1.970808
1.974184 1.974184
1.977467 1.977467
1.980657 1.980657
1.983753 1.983753
1.986754 1.986754
1.989660 1.989660
1.992470 1.992470
1.995185 1.995185
1.997803 1.997803
2.000324 2.000324
2.002748 2.002748
2.005075 2.005075
2.007303 2.007303
2.009433 2.009433
2.011465 2.011465
2.013397 2.013397
2.015231 2.015231
2.016965 2.016965
2.018600 2.018600
2.020135 2.020135
2.021570 2.021570
2.022905 2.022905
2.024139 2.024139
2.025274 2.025274
2.026308 2.026308
2.027242 2.027242
2.028075 2.028075
2.028808 2.028808
2.029441 2.029441
2.029973 2.029973
2.030405 2.030405
2.030737 2.030737
2.030968 2.030968
2.031100 2.031100
2.031132 2.031132
2.031065 2.031065
2.030898 2.030898
2.030632 2.030632
2.030266 2.030266
2.029803 2.029803
2.029241 2.029241
2.028581 2.028581
2.027823 2.027823
2.026968 2.026968
2.026016 2.026016
2.024967 2.024967
2.023822 2.023822
2.022582 2.022582
2.021246 2.021246
2.019815 2.019815
2.018290 2.018290
2.016671 2.016671
2.014959 2.014959
2.013154 2.013154
2.011258 2.011258
2.009269 2.009269
2.007190 2.007190
2.005020 2.005020
2.002761 2.002761
2.000413 2.000413
1.997976 1.997976
1.995452 1.995452
1.992841 1.992841
1.990143 1.990143
1.987361 1.987361
1.984493 1.984493
1.981542 1.981542
1.978508 1.978508
1.975391 1.975391
1.972193 1.972193
1.968914 1.968914
1.965555 1.965555
1.962118 1.962118
1.958602 1.958602
1.955010 1.955010
1.951341 1.951341
1.947596 1.947596
1.943778 1.943778
1.939885 1.939885
1.935921 1.935921
1.931884 1.931884
1.927777 1.927777
1.923600 1.923600
1.919355 1.919355
1.915042 1.915042
1.910662 1.910662
1.906217 1.906217
1.901707 1.901707
1.897133 1.897133
1.892497 1.892497
1.887799 1.887799
1.883041 1.883041
1.878223 1.878223
1.873346 1.873346
1.868413 1.868413
1.863423 1.863423
1.858377 1.858377
1.853278 1.853278
1.848125 1.848125
1.842921 1.842921
1.837665 1.837665
1.832359 1.832359
1.827005 1.827005
1.821603 1.821603
1.816154 1.816154
1.810660 1.810660
1.805121 1.805121
1.799538 1.799538
1.793913 1.793913
1.788247 1.788247
1.782541 1.782541
1.776795 1.776795
1.771011 1.771011
1.765190 1.765190
1.759333 1.759333
1.753441 1.753441
1.747515 1.747515
1.741556 1.741556
1.735565 1.735565
1.729543 1.729543
1.723491 1.723491
1.717410 1.717410
1.711301 1.711301
1.705165 1.705165
1.699003 1.699003
1.692816 1.692816
1.686605 1.686605
1.680371 1.680371
1.674114 1.674114
1.667836 1.667836
1.661537 1.661537
1.655219 1.655219
1.648881 1.648881
1.642526 1.642526
1.636154 1.636154
1.629765 1.629765
1.623361 1.623361
1.616943 1.616943
1.610510 1.610510
1.604064 1.604064
1.597605 1.597605
1.591135 1.591135
1.584653 1.584653
1.578161 1.578161
1.571659 1.571659
1.565147 1.565147
1.558628 1.558628
1.552100 1.552100
1.545564 1.545564
1.539021 1.539021
1.532472 1.532472
1.525917 1.525917
1.519356 1.519356
1.512790 1.512790
1.506219 1.506219
1.499643 1.499643
1.493064 1.493064
1.486480 1.486480
1.479893 1.479893
1.473302 1.473302
1.466709 1.466709
1.460112 1.460112
1.453512 1.453512
1.446910 1.446910
1.440305 1.440305
1.433697 1.433697
1.427087 1.427087
1.420474 1.420474
1.413858 1.413858
1.407239 1.407239
1.400618 1.400618
1.393993 1.393993
1.387364 1.387364
1.380732 1.380732
1.374096 1.374096
1.367455 1.367455
1.360810 1.360810
1.354159 1.354159
1.347503 1.347503
1.340840 1.340840
1.334170 1.334170
1.327493 1.327493
1.320808 1.320808
1.314115 1.314115
1.307411 1.307411
1.300697 1.300697
1.293972 1.293972
1.287235 1.287235
1.280485 1.280485
1.273720 1.273720
1.266941 1.266941
1.260145 1.260145
1.253332 1.253332
1.246500 1.246500
1.239648 1.239648
1.232776 1.232776
1.225881 1.225881
1.218962 1.218962
1.212018 1.212018
1.205047 1.205047
1.198047 1.198047
1.191018 1.191018
1.183958 1.183958
1.176864 1.176864
1.169735 1.169735
1.162570 1.162570
1.155367 1.155367
1.148123 1.148123
1.140837 1.140837
1.133508 1.133508
1.126132 1.126132
1.118709 1.118709
1.111236 1.111236
1.103711 1.103711
1.096133 1.096133
1.088499 1.088499
1.080807 1.080807
1.073056 1.073056
1.065242 1.065242
1.057365 1.057365
1.049423 1.049423
1.041412 1.041412
1.033332 1.033332
1.025180 1.025180
1.016955 1.016955
1.008654 1.008654
1.000276 1.000276
0.991819 0.991819
0.983282 0.983282
0.974662 0.974662
0.965957 0.965957
0.957168 0.957168
0.948291 0.948291
0.939326 0.939326
0.930271 0.930271
0.921125 0.921125
0.911887 0.911887
0.902556 0.902556
0.893131 0.893131
0.883611 0.883611
0.873996 0.873996
0.864284 0.864284
0.854476 0.854476
0.844571 0.844571
0.834569 0.834569
0.824469 0.824469
0.814272 0.814272
0.803977 0.803977
0.793585 0.793585
0.783097 0.783097
0.772512 0.772512
0.761831 0.761831
0.751055 0.751055
0.740185 0.740185
0.729221 0.729221
0.718165 0.718165
0.707017 0.707017
0.695779 0.695779
0.684452 0.684452
0.673038 0.673038
0.661538 0.661538
0.649954 0.649954
0.638287 0.638287
0.626539 0.626539
0.614712 0.614712
0.602809 0.602809
0.590830 0.590830
0.578779 0.578779
0.566657 0.566657
0.554467 0.554467
0.542211 0.542211
0.529891 0.529891
0.517510 0.517510
0.505071 0.505071
0.492576 0.492576
0.480027 0.480027
0.467428 0.467428
0.454780 0.454780
0.442088 0.442088
0.429353 0.429353
0.416579 0.416579
0.403769 0.403769
0.390925 0.390925
0.378050 0.378050
0.365148 0.365148
0.352221 0.352221
0.339273 0.339273
0.326306 0.326306
0.313324 0.313324
0.300330 0.300330
0.287327 0.287327
0.274318 0.274318
0.261307 0.261307
0.248296 0.248296
0.235289 0.235289
0.222290 0.222290
0.209300 0.209300
0.196324 0.196324
0.183364 0.183364
0.170425 0.170425
0.157509 0.157509
0.144619 0.144619
0.131759 0.131759
0.118931 0.118931
0.106140 0.106140
0.093388 0.093388
0.080679 0.080679
0.068015 0.068015
0.055401 0.055401
0.042838 0.042838
0.030331 0.030331
0.017882 0.017882
0.005495 0.005495
-0.006828 -0.006828
-0.019083 -0.019083
-0.031267 -0.031267
-0.043377 -0.043377
-0.055411 -0.055411
-0.067365 -0.067365
-0.079236 -0.079236
