x[11] y[11]
1.000000 2.000000
1.000000 2.000000
1.000000 2.000000
1.000000 2.000000
1.000000 2.000000
1.000000 2.000000
0.999999 2.000000
0.999999 2.000000
0.999998 2.000000
0.999997 2.000000
0.999996 2.000000
0.999994 2.000000
0.999991 2.000000
0.999988 2.000000
0.999984 2.000000
0.999979 2.000000
0.999973 2.000000
0.999965 2.000000
0.999956 2.000000
0.999945 2.000000
0.999933 2.000000
0.999919 2.000000
0.999902 2.000000
0.999883 2.000000
0.999861 2.000000
0.999837 2.000000
0.999809 2.000000
0.999778 2.000000
0.999743 2.000000
0.999704 2.000000
0.999661 2.000000
0.999614 2.000000
0.999562 2.000000
0.999505 2.000000
0.999442 2.000000
0.999374 2.000000
0.999299 2.000000
0.999218 2.000000
0.999131 2.000000
0.999036 2.000000
0.998933 2.000000
0.998823 2.000000
0.998705 2.000000
0.998577 2.000000
0.998441 2.000000
0.998295 2.000000
0.998140 2.000000
0.997974 2.000000
0.997797 2.000000
0.997609 2.000000
0.997409 2.000000
0.997197 2.000000
0.996973 2.000000
0.996735 2.000000
0.996484 2.000000
0.996219 1.999999
0.995940 1.999999
0.995645 1.999999
0.995335 1.999999
0.995009 1.999999
0.994666 1.999999
0.994306 1.999999
0.993928 1.999999
0.993533 1.999998
0.993118 1.999998
0.992685 1.999998
0.992231 1.999998
0.991758 1.999997
0.991263 1.999997
0.990747 1.999997
0.990208 1.999996
0.989648 1.999996
0.989063 1.999995
0.988456 1.999995
0.987823 1.999994
0.987166 1.999994
0.986483 1.999993
0.985774 1.999992
0.985039 1.999991
0.984276 1.999991
0.983485 1.999990
0.982665 1.999989
0.981816 1.999988
0.980937 1.999986
0.980028 1.999985
0.979088 1.999984
0.978116 1.999982
0.977112 1.999980
0.976075 1.999979
0.975005 1.999977
0.973900 1.999975
0.972761 1.999973
0.971586 1.999970
0.970376 1.999968
0.969128 1.999965
0.967844 1.999962
0.966521 1.999959
0.965160 1.999956
0.963760 1.999952
0.962320 1.999948
0.960840 1.999944
0.959319 1.999940
0.957756 1.999935
0.956151 1.999930
0.954503 1.999925
0.952812 1.999920
0.951077 1.999914
0.949298 1.999908
0.947473 1.999901
0.945602 1.999894
0.943685 1.999887
0.941721 1.999879
0.939709 1.999871
0.937650 1.999862
0.935541 1.999853
0.933384 1.999843
0.931176 1.999833
0.928918 1.999822
0.926610 1.999810
0.924249 1.999798
0.921837 1.999786
0.919372 1.999772
0.916854 1.999758
0.914283 1.999743
0.911657 1.999728
0.908977 1.999712
0.906241 1.999694
0.903450 1.999676
0.900603 1.999658
0.897699 1.999638
0.894739 1.999617
0.891720 1.999595
0.888644 1.999572
0.885509 1.999548
0.882316 1.999523
0.879063 1.999497
0.875751 1.999470
0.872378 1.999441
0.868945 1.999412
0.865451 1.999380
0.861896 1.999348
0.858279 1.999314
0.854600 1.999278
0.850859 1.999241
0.847055 1.999203
0.843188 1.999163
0.839258 1.999121
0.835264 1.999077
0.831206 1.999032
0.827084 1.998985
0.822897 1.998935
0.818646 1.998884
0.814329 1.998831
0.809948 1.998776
0.805501 1.998718
0.800988 1.998659
0.796409 1.998597
0.791765 1.998532
0.787054 1.998466
0.782277 1.998396
0.777433 1.998324
0.772522 1.998250
0.767545 1.998173
0.762500 1.998092
0.757389 1.998009
0.752210 1.997923
0.746964 1.997834
0.741651 1.997742
0.736271 1.997646
0.730823 1.997548
0.725308 1.997445
0.719725 1.997340
0.714075 1.997230
0.708358 1.997117
0.702574 1.997000
0.696722 1.996879
0.690802 1.996755
0.684816 1.996626
0.678763 1.996492
0.672642 1.996355
0.666455 1.996213
0.660201 1.996067
0.653881 1.995916
0.647493 1.995760
0.641040 1.995599
0.634521 1.995434
0.627935 1.995263
0.621284 1.995087
0.614568 1.994906
0.607786 1.994719
0.600939 1.994526
0.594027 1.994328
0.587051 1.994124
0.580011 1.993914
0.572906 1.993698
0.565738 1.993476
0.558507 1.993247
0.551213 1.993012
0.543857 1.992770
0.536438 1.992521
0.528957 1.992266
0.521414 1.992003
0.513811 1.991733
0.506147 1.991456
0.498423 1.991171
0.490639 1.990878
0.482795 1.990578
0.474893 1.990269
0.466932 1.989953
0.458913 1.989628
0.450836 1.989295
0.442703 1.988953
0.434513 1.988603
0.426267 1.988243
0.417966 1.987875
0.409610 1.987497
0.401199 1.987110
0.392735 1.986713
0.384217 1.986306
0.375647 1.985890
0.367025 1.985464
0.358351 1.985027
0.349627 1.984580
0.340852 1.984122
0.332028 1.983654
0.323155 1.983175
0.314234 1.982684
0.305265 1.982183
0.296249 1.981670
0.287186 1.981145
0.278078 1.980609
0.268925 1.980060
0.259728 1.979500
0.250487 1.978927
0.241204 1.978342
0.231878 1.977744
0.222511 1.977134
0.213103 1.976510
0.203656 1.975874
0.194169 1.975224
0.184643 1.974561
0.175080 1.973884
0.165480 1.973193
0.155844 1.972488
0.146172 1.971769
0.136466 1.971036
0.126726 1.970288
0.116952 1.969526
0.107147 1.968749
0.097309 1.967957
0.087442 1.967150
0.077544 1.966328
0.067617 1.965490
0.057661 1.964637
0.047678 1.963768
0.037669 1.962883
0.027633 1.961983
0.017573 1.961066
0.007488 1.960133
-0.002620 1.959183
-0.012751 1.958217
-0.022904 1.957234
-0.033077 1.956235
-0.043271 1.955218
-0.053484 1.954185
-0.063716 1.953134
-0.073965 1.952067
-0.084231 1.950981
-0.094513 1.949879
-0.104810 1.948758
-0.115121 1.947620
-0.125446 1.946465
-0.135784 1.945291
-0.146133 1.944100
-0.156493 1.942890
-0.166863 1.941662
-0.177243 1.940417
-0.187631 1.939152
-0.198027 1.937870
-0.208429 1.936569
-0.218838 1.935250
-0.229251 1.933913
-0.239669 1.932557
-0.250090 1.931182
-0.260514 1.929789
-0.270939 1.928377
-0.281366 1.926947
-0.291793 1.925498
-0.302219 1.924031
-0.312643 1.922545
-0.323065 1.921040
-0.333484 1.919517
-0.343899 1.917975
-0.354310 1.916415
-0.364714 1.914837
-0.375113 1.913240
-0.385504 1.911624
-0.395887 1.909990
-0.406261 1.908338
-0.416626 1.906668
-0.426980 1.904980
-0.437323 1.903274
-0.447654 1.901550
-0.457973 1.899808
-0.468278 1.898049
-0.478568 1.896272
-0.488844 1.894477
-0.499103 1.892666
-0.509346 1.890837
-0.519572 1.888991
-0.529779 1.887129
-0.539967 1.885250
-0.550136 1.883355
-0.560284 1.881443
-0.570412 1.879515
-0.580517 1.877572
-0.590599 1.875613
-0.600658 1.873639
-0.610694 1.871649
-0.620704 1.869645
-0.630688 1.867626
-0.640647 1.865593
-0.650578 1.863546
-0.660481 1.861486
-0.670356 1.859412
-0.680202 1.857324
