 #time_steps  real_time  l[1]  l_d[1]
0 0.000000 1.000000000000 0.999999900624
1 0.002500 1.000000000000 0.999999902487
2 0.005000 1.000000000000 0.999999905559
3 0.007500 1.000000000000 0.999999909794
4 0.010000 1.000000000000 0.999999915124
5 0.012500 1.000000000000 0.999999921467
6 0.015000 1.000000000000 0.999999928726
7 0.017500 1.000000000000 0.999999936788
8 0.020000 1.000000000000 0.999999945531
9 0.022500 1.000000000000 0.999999954821
10 0.025000 1.000000000000 0.999999964518
11 0.027500 1.000000000000 0.999999974476
12 0.030000 1.000000000000 0.999999984548
13 0.032500 1.000000000000 0.999999994586
14 0.035000 1.000000000000 1.000000004445
15 0.037500 1.000000000000 1.000000013985
16 0.040000 1.000000000000 1.000000023072
17 0.042500 1.000000000000 1.000000031583
18 0.045000 1.000000000000 1.000000039405
19 0.047500 1.000000000000 1.000000046439
20 0.050000 1.000000000000 1.000000052600
21 0.052500 1.000000000000 1.000000057819
22 0.055000 1.000000000000 1.000000062045
23 0.057500 1.000000000000 1.000000065241
24 0.060000 1.000000000000 1.000000067390
25 0.062500 1.000000000000 1.000000068493
26 0.065000 1.000000000000 1.000000068566
27 0.067500 1.000000000000 1.000000067643
28 0.070000 1.000000000000 1.000000065775
29 0.072500 1.000000000000 1.000000063024
30 0.075000 1.000000000000 1.000000059467
31 0.077500 1.000000000000 1.000000055193
32 0.080000 1.000000000000 1.000000050299
33 0.082500 1.000000000000 1.000000044891
34 0.085000 1.000000000000 1.000000039079
35 0.087500 1.000000000000 1.000000032978
36 0.090000 1.000000000000 1.000000026702
37 0.092500 1.000000000000 1.000000020367
38 0.095000 1.000000000000 1.000000014084
39 0.097500 1.000000000000 1.000000007960
40 0.100000 1.000000000000 1.000000002095
41 0.102500 1.000000000000 0.999999996581
42 0.105000 1.000000000000 0.999999991500
43 0.107500 1.000000000000 0.999999986923
44 0.110000 1.000000000000 0.999999982909
45 0.112500 1.000000000000 0.999999979505
46 0.115000 1.000000000000 0.999999976744
47 0.117500 1.000000000000 0.999999974647
48 0.120000 1.000000000000 0.999999973219
49 0.122500 1.000000000000 0.999999972454
50 0.125000 1.000000000000 0.999999972334
51 0.127500 1.000000000000 0.999999972827
52 0.130000 1.000000000000 0.999999973893
53 0.132500 1.000000000000 0.999999975481
54 0.135000 1.000000000000 0.999999977532
55 0.137500 1.000000000000 0.999999979980
56 0.140000 1.000000000000 0.999999982754
57 0.142500 1.000000000001 0.999999985781
58 0.145000 1.000000000001 0.999999988982
59 0.147500 1.000000000001 0.999999992283
60 0.150000 1.000000000001 0.999999995607
61 0.152500 1.000000000002 0.999999998882
62 0.155000 1.000000000003 1.000000002040
63 0.157500 1.000000000003 1.000000005017
64 0.160000 1.000000000004 1.000000007757
65 0.162500 1.000000000005 1.000000010212
66 0.165000 1.000000000007 1.000000012342
67 0.167500 1.000000000008 1.000000014114
68 0.170000 1.000000000011 1.000000015507
69 0.172500 1.000000000013 1.000000016509
70 0.175000 1.000000000016 1.000000017116
71 0.177500 1.000000000020 1.000000017334
72 0.180000 1.000000000025 1.000000017180
73 0.182500 1.000000000031 1.000000016676
74 0.185000 1.000000000038 1.000000015852
75 0.187500 1.000000000046 1.000000014747
76 0.190000 1.000000000055 1.000000013403
77 0.192500 1.000000000066 1.000000011868
78 0.195000 1.000000000080 1.000000010192
79 0.197500 1.000000000095 1.000000008428
80 0.200000 1.000000000113 1.000000006631
81 0.202500 1.000000000135 1.000000004852
82 0.205000 1.000000000159 1.000000003143
83 0.207500 1.000000000187 1.000000001555
84 0.210000 1.000000000220 1.000000000131
85 0.212500 1.000000000257 0.999999998912
86 0.215000 1.000000000300 0.999999997934
87 0.217500 1.000000000348 0.999999997225
88 0.220000 1.000000000403 0.999999996808
89 0.222500 1.000000000465 0.999999996697
90 0.225000 1.000000000536 0.999999996901
91 0.227500 1.000000000615 0.999999997420
92 0.230000 1.000000000703 0.999999998246
93 0.232500 1.000000000802 0.999999999367
94 0.235000 1.000000000913 1.000000000760
95 0.237500 1.000000001036 1.000000002401
96 0.240000 1.000000001172 1.000000004255
97 0.242500 1.000000001322 1.000000006287
98 0.245000 1.000000001488 1.000000008455
99 0.247500 1.000000001671 1.000000010716
100 0.250000 1.000000001871 1.000000013021
101 0.252500 1.000000002090 1.000000015325
102 0.255000 1.000000002330 1.000000017580
103 0.257500 1.000000002590 1.000000019738
104 0.260000 1.000000002874 1.000000021753
105 0.262500 1.000000003181 1.000000023584
106 0.265000 1.000000003513 1.000000025189
107 0.267500 1.000000003871 1.000000026534
108 0.270000 1.000000004257 1.000000027587
109 0.272500 1.000000004672 1.000000028322
110 0.275000 1.000000005117 1.000000028719
111 0.277500 1.000000005593 1.000000028763
112 0.280000 1.000000006102 1.000000028446
113 0.282500 1.000000006643 1.000000027766
114 0.285000 1.000000007220 1.000000026726
115 0.287500 1.000000007832 1.000000025338
116 0.290000 1.000000008480 1.000000023615
117 0.292500 1.000000009166 1.000000021581
118 0.295000 1.000000009890 1.000000019262
119 0.297500 1.000000010653 1.000000016688
120 0.300000 1.000000011456 1.000000013895
121 0.302500 1.000000012299 1.000000010922
122 0.305000 1.000000013182 1.000000007811
123 0.307500 1.000000014107 1.000000004607
124 0.310000 1.000000015074 1.000000001355
125 0.312500 1.000000016082 0.999999998102
126 0.315000 1.000000017131 0.999999994897
127 0.317500 1.000000018223 0.999999991786
128 0.320000 1.000000019356 0.999999988817
129 0.322500 1.000000020531 0.999999986036
130 0.325000 1.000000021746 0.999999983486
131 0.327500 1.000000023002 0.999999981209
132 0.330000 1.000000024298 0.999999979245
133 0.332500 1.000000025634 0.999999977630
134 0.335000 1.000000027007 0.999999976397
135 0.337500 1.000000028419 0.999999975577
136 0.340000 1.000000029866 0.999999975196
137 0.342500 1.000000031349 0.999999975275
138 0.345000 1.000000032866 0.999999975835
139 0.347500 1.000000034415 0.999999976888
140 0.350000 1.000000035995 0.999999978447
141 0.352500 1.000000037605 0.999999980516
142 0.355000 1.000000039242 0.999999983098
143 0.357500 1.000000040904 0.999999986191
144 0.360000 1.000000042590 0.999999989789
145 0.362500 1.000000044298 0.999999993880
146 0.365000 1.000000046025 0.999999998452
147 0.367500 1.000000047768 1.000000003484
148 0.370000 1.000000049526 1.000000008955
149 0.372500 1.000000051296 1.000000014838
150 0.375000 1.000000053075 1.000000021101
151 0.377500 1.000000054860 1.000000027711
152 0.380000 1.000000056648 1.000000034629
153 0.382500 1.000000058437 1.000000041813
154 0.385000 1.000000060222 1.000000049219
155 0.387500 1.000000062002 1.000000056797
156 0.390000 1.000000063772 1.000000064496
157 0.392500 1.000000065529 1.000000072261
158 0.395000 1.000000067270 1.000000080036
159 0.397500 1.000000068990 1.000000087761
160 0.400000 1.000000070686 1.000000095377
161 0.402500 1.000000072355 1.000000102820
162 0.405000 1.000000073991 1.000000110028
163 0.407500 1.000000075590 1.000000116939
164 0.410000 1.000000077150 1.000000123490
165 0.412500 1.000000078664 1.000000129621
166 0.415000 1.000000080130 1.000000135271
167 0.417500 1.000000081542 1.000000140385
168 0.420000 1.000000082895 1.000000144910
169 0.422500 1.000000084186 1.000000148795
170 0.425000 1.000000085410 1.000000151998
171 0.427500 1.000000086562 1.000000154480
172 0.430000 1.000000087637 1.000000156208
173 0.432500 1.000000088631 1.000000157158
174 0.435000 1.000000089539 1.000000157313
175 0.437500 1.000000090357 1.000000156663
176 0.440000 1.000000091080 1.000000155208
177 0.442500 1.000000091704 1.000000152956
178 0.445000 1.000000092224 1.000000149926
179 0.447500 1.000000092637 1.000000146145
180 0.450000 1.000000092938 1.000000141648
181 0.452500 1.000000093124 1.000000136483
182 0.455000 1.000000093191 1.000000130702
183 0.457500 1.000000093135 1.000000124369
184 0.460000 1.000000092955 1.000000117555
185 0.462500 1.000000092648 1.000000110336
186 0.465000 1.000000092210 1.000000102796
187 0.467500 1.000000091640 1.000000095023
188 0.470000 1.000000090937 1.000000087109
189 0.472500 1.000000090100 1.000000079148
190 0.475000 1.000000089127 1.000000071237
191 0.477500 1.000000088020 1.000000063470
192 0.480000 1.000000086777 1.000000055941
193 0.482500 1.000000085400 1.000000048742
194 0.485000 1.000000083890 1.000000041957
195 0.487500 1.000000082250 1.000000035667
196 0.490000 1.000000080481 1.000000029944
197 0.492500 1.000000078586 1.000000024853
198 0.495000 1.000000076570 1.000000020447
199 0.497500 1.000000074436 1.000000016770
200 0.500000 1.000000072189 1.000000013854
201 0.502500 1.000000069833 1.000000011718
202 0.505000 1.000000067376 1.000000010368
203 0.507500 1.000000064822 1.000000009799
204 0.510000 1.000000062178 1.000000009991
205 0.512500 1.000000059453 1.000000010912
206 0.515000 1.000000056652 1.000000012517
207 0.517500 1.000000053785 1.000000014749
208 0.520000 1.000000050859 1.000000017542
209 0.522500 1.000000047883 1.000000020817
210 0.525000 1.000000044866 1.000000024488
211 0.527500 1.000000041818 1.000000028463
212 0.530000 1.000000038748 1.000000032643
213 0.532500 1.000000035665 1.000000036924
214 0.535000 1.000000032579 1.000000041201
215 0.537500 1.000000029501 1.000000045370
216 0.540000 1.000000026440 1.000000049326
217 0.542500 1.000000023406 1.000000052969
218 0.545000 1.000000020409 1.000000056204
219 0.547500 1.000000017460 1.000000058944
220 0.550000 1.000000014567 1.000000061108
221 0.552500 1.000000011740 1.000000062629
222 0.555000 1.000000008990 1.000000063447
223 0.557500 1.000000006324 1.000000063520
224 0.560000 1.000000003754 1.000000062814
225 0.562500 1.000000001286 1.000000061314
226 0.565000 0.999999998930 1.000000059017
227 0.567500 0.999999996694 1.000000055936
228 0.570000 0.999999994586 1.000000052098
229 0.572500 0.999999992613 1.000000047545
230 0.575000 0.999999990784 1.000000042333
231 0.577500 0.999999989104 1.000000036529
232 0.580000 0.999999987580 1.000000030215
233 0.582500 0.999999986219 1.000000023481
234 0.585000 0.999999985026 1.000000016425
235 0.587500 0.999999984006 1.000000009154
236 0.590000 0.999999983166 1.000000001780
237 0.592500 0.999999982509 0.999999994417
238 0.595000 0.999999982040 0.999999987181
239 0.597500 0.999999981763 0.999999980188
240 0.600000 0.999999981681 0.999999973549
241 0.602500 0.999999981799 0.999999967373
242 0.605000 0.999999982118 0.999999961759
243 0.607500 0.999999982642 0.999999956800
244 0.610000 0.999999983373 0.999999952578
245 0.612500 0.999999984313 0.999999949163
246 0.615000 0.999999985463 0.999999946614
247 0.617500 0.999999986826 0.999999944974
248 0.620000 0.999999988401 0.999999944274
249 0.622500 0.999999990191 0.999999944528
250 0.625000 0.999999992195 0.999999945737
251 0.627500 0.999999994413 0.999999947887
252 0.630000 0.999999996846 0.999999950949
253 0.632500 0.999999999494 0.999999954881
254 0.635000 1.000000002354 0.999999959628
255 0.637500 1.000000005428 0.999999965125
256 0.640000 1.000000008712 0.999999971295
257 0.642500 1.000000012206 0.999999978056
258 0.645000 1.000000015908 0.999999985316
259 0.647500 1.000000019815 0.999999992981
260 0.650000 1.000000023924 1.000000000953
261 0.652500 1.000000028234 1.000000009134
262 0.655000 1.000000032740 1.000000017427
263 0.657500 1.000000037439 1.000000025740
264 0.660000 1.000000042327 1.000000033984
265 0.662500 1.000000047400 1.000000042079
266 0.665000 1.000000052652 1.000000049953
267 0.667500 1.000000058079 1.000000057542
268 0.670000 1.000000063676 1.000000064798
269 0.672500 1.000000069435 1.000000071681
270 0.675000 1.000000075352 1.000000078165
271 0.677500 1.000000081418 1.000000084239
272 0.680000 1.000000087628 1.000000089904
273 0.682500 1.000000093974 1.000000095173
274 0.685000 1.000000100447 1.000000100075
275 0.687500 1.000000107039 1.000000104649
276 0.690000 1.000000113742 1.000000108946
277 0.692500 1.000000120547 1.000000113025
278 0.695000 1.000000127444 1.000000116956
279 0.697500 1.000000134423 1.000000120815
280 0.700000 1.000000141473 1.000000124681
281 0.702500 1.000000148585 1.000000128638
282 0.705000 1.000000155747 1.000000132770
283 0.707500 1.000000162948 1.000000137161
284 0.710000 1.000000170177 1.000000141891
285 0.712500 1.000000177420 1.000000147035
286 0.715000 1.000000184667 1.000000152661
287 0.717500 1.000000191904 1.000000158829
288 0.720000 1.000000199119 1.000000165587
289 0.722500 1.000000206298 1.000000172971
290 0.725000 1.000000213429 1.000000181007
291 0.727500 1.000000220498 1.000000189702
292 0.730000 1.000000227490 1.000000199054
293 0.732500 1.000000234394 1.000000209041
294 0.735000 1.000000241193 1.000000219627
295 0.737500 1.000000247875 1.000000230764
296 0.740000 1.000000254425 1.000000242386
297 0.742500 1.000000260830 1.000000254415
298 0.745000 1.000000267074 1.000000266759
299 0.747500 1.000000273144 1.000000279316
300 0.750000 1.000000279027 1.000000291975
301 0.752500 1.000000284707 1.000000304616
302 0.755000 1.000000290172 1.000000317112
303 0.757500 1.000000295407 1.000000329334
304 0.760000 1.000000300400 1.000000341151
305 0.762500 1.000000305137 1.000000352431
306 0.765000 1.000000309606 1.000000363048
307 0.767500 1.000000313793 1.000000372877
308 0.770000 1.000000317688 1.000000381802
309 0.772500 1.000000321278 1.000000389718
310 0.775000 1.000000324552 1.000000396527
311 0.777500 1.000000327501 1.000000402147
312 0.780000 1.000000330113 1.000000406508
313 0.782500 1.000000332380 1.000000409558
314 0.785000 1.000000334293 1.000000411259
315 0.787500 1.000000335844 1.000000411590
316 0.790000 1.000000337025 1.000000410548
317 0.792500 1.000000337831 1.000000408149
318 0.795000 1.000000338256 1.000000404424
319 0.797500 1.000000338295 1.000000399420
320 0.800000 1.000000337944 1.000000393203
321 0.802500 1.000000337201 1.000000385852
322 0.805000 1.000000336063 1.000000377457
323 0.807500 1.000000334529 1.000000368125
324 0.810000 1.000000332600 1.000000357968
325 0.812500 1.000000330276 1.000000347108
326 0.815000 1.000000327560 1.000000335676
327 0.817500 1.000000324454 1.000000323802
328 0.820000 1.000000320963 1.000000311621
329 0.822500 1.000000317092 1.000000299266
330 0.825000 1.000000312846 1.000000286869
331 0.827500 1.000000308234 1.000000274557
332 0.830000 1.000000303262 1.000000262449
333 0.832500 1.000000297941 1.000000250656
334 0.835000 1.000000292280 1.000000239281
335 0.837500 1.000000286289 1.000000228413
336 0.840000 1.000000279982 1.000000218129
337 0.842500 1.000000273371 1.000000208492
338 0.845000 1.000000266468 1.000000199553
339 0.847500 1.000000259290 1.000000191344
340 0.850000 1.000000251850 1.000000183885
341 0.852500 1.000000244164 1.000000177180
342 0.855000 1.000000236249 1.000000171218
343 0.857500 1.000000228122 1.000000165974
344 0.860000 1.000000219800 1.000000161411
345 0.862500 1.000000211301 1.000000157478
346 0.865000 1.000000202645 1.000000154114
347 0.867500 1.000000193849 1.000000151249
348 0.870000 1.000000184934 1.000000148805
349 0.872500 1.000000175918 1.000000146695
350 0.875000 1.000000166821 1.000000144831
351 0.877500 1.000000157663 1.000000143121
352 0.880000 1.000000148465 1.000000141472
353 0.882500 1.000000139246 1.000000139791
354 0.885000 1.000000130027 1.000000137987
355 0.887500 1.000000120827 1.000000135976
356 0.890000 1.000000111666 1.000000133677
357 0.892500 1.000000102565 1.000000131016
358 0.895000 1.000000093542 1.000000127928
359 0.897500 1.000000084618 1.000000124357
360 0.900000 1.000000075811 1.000000120258
361 0.902500 1.000000067140 1.000000115594
362 0.905000 1.000000058623 1.000000110342
363 0.907500 1.000000050279 1.000000104489
364 0.910000 1.000000042124 1.000000098034
365 0.912500 1.000000034176 1.000000090987
366 0.915000 1.000000026452 1.000000083370
367 0.917500 1.000000018966 1.000000075213
368 0.920000 1.000000011735 1.000000066560
369 0.922500 1.000000004774 1.000000057459
370 0.925000 0.999999998095 1.000000047970
371 0.927500 0.999999991713 1.000000038159
372 0.930000 0.999999985640 1.000000028096
373 0.932500 0.999999979889 1.000000017860
374 0.935000 0.999999974470 1.000000007529
375 0.937500 0.999999969395 0.999999997187
376 0.940000 0.999999964672 0.999999986917
