 #time_steps  real_time  l[24]  l_d[24]
0 0.000000 1.000000000000 1.000000000000
1 0.002500 1.000000000000 1.000000000000
2 0.005000 1.000000000000 1.000000000000
3 0.007500 1.000000000000 1.000000000000
4 0.010000 1.000000000001 1.000000000001
5 0.012500 1.000000000003 1.000000000003
6 0.015000 1.000000000010 1.000000000010
7 0.017500 1.000000000026 1.000000000026
8 0.020000 1.000000000061 1.000000000061
9 0.022500 1.000000000130 1.000000000130
10 0.025000 1.000000000259 1.000000000259
11 0.027500 1.000000000483 1.000000000483
12 0.030000 1.000000000854 1.000000000854
13 0.032500 1.000000001443 1.000000001443
14 0.035000 1.000000002346 1.000000002346
15 0.037500 1.000000003684 1.000000003684
16 0.040000 1.000000005615 1.000000005615
17 0.042500 1.000000008334 1.000000008334
18 0.045000 1.000000012080 1.000000012080
19 0.047500 1.000000017142 1.000000017142
20 0.050000 1.000000023860 1.000000023860
21 0.052500 1.000000032634 1.000000032634
22 0.055000 1.000000043925 1.000000043925
23 0.057500 1.000000058260 1.000000058260
24 0.060000 1.000000076232 1.000000076232
25 0.062500 1.000000098505 1.000000098505
26 0.065000 1.000000125811 1.000000125811
27 0.067500 1.000000158952 1.000000158952
28 0.070000 1.000000198796 1.000000198796
29 0.072500 1.000000246276 1.000000246276
30 0.075000 1.000000302384 1.000000302384
31 0.077500 1.000000368166 1.000000368166
32 0.080000 1.000000444714 1.000000444714
33 0.082500 1.000000533161 1.000000533161
34 0.085000 1.000000634666 1.000000634666
35 0.087500 1.000000750408 1.000000750408
36 0.090000 1.000000881573 1.000000881573
37 0.092500 1.000001029341 1.000001029341
38 0.095000 1.000001194875 1.000001194875
39 0.097500 1.000001379305 1.000001379305
40 0.100000 1.000001583715 1.000001583715
41 0.102500 1.000001809129 1.000001809129
42 0.105000 1.000002056500 1.000002056500
43 0.107500 1.000002326689 1.000002326689
44 0.110000 1.000002620463 1.000002620463
45 0.112500 1.000002938471 1.000002938471
46 0.115000 1.000003281243 1.000003281243
47 0.117500 1.000003649172 1.000003649172
48 0.120000 1.000004042512 1.000004042512
49 0.122500 1.000004461363 1.000004461363
50 0.125000 1.000004905673 1.000004905673
51 0.127500 1.000005375231 1.000005375231
52 0.130000 1.000005869660 1.000005869660
53 0.132500 1.000006388426 1.000006388426
54 0.135000 1.000006930831 1.000006930831
55 0.137500 1.000007496021 1.000007496021
56 0.140000 1.000008082991 1.000008082991
57 0.142500 1.000008690590 1.000008690590
58 0.145000 1.000009317530 1.000009317530
59 0.147500 1.000009962397 1.000009962397
60 0.150000 1.000010623661 1.000010623661
61 0.152500 1.000011299692 1.000011299692
62 0.155000 1.000011988768 1.000011988768
63 0.157500 1.000012689096 1.000012689096
64 0.160000 1.000013398820 1.000013398820
65 0.162500 1.000014116044 1.000014116044
66 0.165000 1.000014838840 1.000014838840
67 0.167500 1.000015565271 1.000015565271
68 0.170000 1.000016293399 1.000016293399
69 0.172500 1.000017021305 1.000017021305
70 0.175000 1.000017747102 1.000017747102
71 0.177500 1.000018468946 1.000018468946
72 0.180000 1.000019185049 1.000019185049
73 0.182500 1.000019893693 1.000019893693
74 0.185000 1.000020593235 1.000020593235
75 0.187500 1.000021282120 1.000021282120
76 0.190000 1.000021958884 1.000021958884
77 0.192500 1.000022622162 1.000022622162
78 0.195000 1.000023270690 1.000023270690
79 0.197500 1.000023903312 1.000023903312
80 0.200000 1.000024518975 1.000024518975
81 0.202500 1.000025116734 1.000025116734
82 0.205000 1.000025695748 1.000025695748
83 0.207500 1.000026255278 1.000026255278
84 0.210000 1.000026794685 1.000026794685
85 0.212500 1.000027313422 1.000027313422
86 0.215000 1.000027811035 1.000027811035
87 0.217500 1.000028287150 1.000028287150
88 0.220000 1.000028741471 1.000028741471
89 0.222500 1.000029173774 1.000029173774
90 0.225000 1.000029583899 1.000029583899
91 0.227500 1.000029971744 1.000029971744
92 0.230000 1.000030337257 1.000030337257
93 0.232500 1.000030680432 1.000030680432
94 0.235000 1.000031001303 1.000031001303
95 0.237500 1.000031299935 1.000031299935
96 0.240000 1.000031576424 1.000031576424
97 0.242500 1.000031830889 1.000031830889
98 0.245000 1.000032063471 1.000032063471
99 0.247500 1.000032274327 1.000032274327
100 0.250000 1.000032463628 1.000032463628
101 0.252500 1.000032631558 1.000032631558
102 0.255000 1.000032778312 1.000032778311
103 0.257500 1.000032904093 1.000032904093
104 0.260000 1.000033009115 1.000033009115
105 0.262500 1.000033093598 1.000033093598
106 0.265000 1.000033157772 1.000033157772
107 0.267500 1.000033201874 1.000033201874
108 0.270000 1.000033226148 1.000033226148
109 0.272500 1.000033230847 1.000033230847
110 0.275000 1.000033216231 1.000033216231
111 0.277500 1.000033182569 1.000033182569
112 0.280000 1.000033130135 1.000033130134
