WASHOUT = 2000, LEARNING = 5000, EVAL = 1000
N = 36, M = 60
dt = 0.002500
T_input = 1
natural_length = 1.000000
fixed_points_index: 25 
input_points_index: 0 20 40 
input_weights: 0.500000 1.000000 2.000000 
range_of_k: 500.000000~1000.000000
range_of_gamma: 0.000000~0.100000
---index_of_l[i]  k  gamma---
0   500.003913   0.107819
1   877.802661   0.045865
2   766.383619   0.021896
3   523.522308   0.067886
4   839.648203   0.093469
5   691.751039   0.051942
6   915.482673   0.003457
7   526.730818   0.052970
8   835.574692   0.000770
9   691.707825   0.006684
10   708.742987   0.068677
11   794.488321   0.093044
12   923.083445   0.052693
13   545.982445   0.065392
14   707.999678   0.070119
15   955.160415   0.076220
16   631.226497   0.004746
17   868.040942   0.032823
18   816.319284   0.075641
19   995.518693   0.036534
20   623.519443   0.098255
21   861.330200   0.075336
22   825.759287   0.007269
23   815.817359   0.088471
24   636.354983   0.043641
25   883.247389   0.047773
26   618.887217   0.027491
27   679.632490   0.016651
28   743.258692   0.089766
29   954.604051   0.006056
30   952.326546   0.050452
31   758.145982   0.031903
32   993.321056   0.049398
33   633.072254   0.009073
34   973.882125   0.007375
35   750.353547   0.038414
36   638.540900   0.091382
37   764.873697   0.046445
38   970.489977   0.005008
39   880.757131   0.077020
40   913.908650   0.012537
41   507.933851   0.068846
42   934.123566   0.062954
43   868.112257   0.072541
44   999.728939   0.088857
45   616.597439   0.030632
46   675.507624   0.051327
47   795.556791   0.084598
48   706.040385   0.084151
49   634.658636   0.041539
50   768.651988   0.046792
51   643.606186   0.017833
52   576.859989   0.057165
53   901.202864   0.003305
54   767.224921   0.049848
55   977.680380   0.074829
56   777.291924   0.089074
57   812.424646   0.084204
58   579.883761   0.021275
59   857.354984   0.013043
