# l[4]( l_4(t) ) connection: point2-point5
n t l_4(t)
0 0 1.000000000000
0 0.000000 1.000000000000
1 0.002500 1.000000000000
2 0.005000 1.000000000000
3 0.007500 1.000000000000
4 0.010000 1.000000000000
5 0.012500 1.000000000000
6 0.015000 1.000000000000
7 0.017500 1.000000000001
8 0.020000 1.000000000002
9 0.022500 1.000000000004
10 0.025000 1.000000000008
11 0.027500 1.000000000013
12 0.030000 1.000000000020
13 0.032500 1.000000000029
14 0.035000 1.000000000040
15 0.037500 1.000000000053
16 0.040000 1.000000000067
17 0.042500 1.000000000083
18 0.045000 1.000000000099
19 0.047500 1.000000000116
20 0.050000 1.000000000132
21 0.052500 1.000000000148
22 0.055000 1.000000000163
23 0.057500 1.000000000178
24 0.060000 1.000000000191
25 0.062500 1.000000000204
26 0.065000 1.000000000216
27 0.067500 1.000000000226
28 0.070000 1.000000000235
29 0.072500 1.000000000243
30 0.075000 1.000000000248
31 0.077500 1.000000000250
32 0.080000 1.000000000249
33 0.082500 1.000000000244
34 0.085000 1.000000000235
35 0.087500 1.000000000220
36 0.090000 1.000000000201
37 0.092500 1.000000000177
38 0.095000 1.000000000148
39 0.097500 1.000000000113
40 0.100000 1.000000000074
41 0.102500 1.000000000029
42 0.105000 0.999999999980
43 0.107500 0.999999999928
44 0.110000 0.999999999875
45 0.112500 0.999999999822
46 0.115000 0.999999999770
47 0.117500 0.999999999723
48 0.120000 0.999999999682
49 0.122500 0.999999999650
50 0.125000 0.999999999629
51 0.127500 0.999999999623
52 0.130000 0.999999999634
53 0.132500 0.999999999664
54 0.135000 0.999999999714
55 0.137500 0.999999999784
56 0.140000 0.999999999875
57 0.142500 0.999999999984
58 0.145000 1.000000000108
59 0.147500 1.000000000244
60 0.150000 1.000000000389
61 0.152500 1.000000000537
62 0.155000 1.000000000684
63 0.157500 1.000000000827
64 0.160000 1.000000000961
65 0.162500 1.000000001084
66 0.165000 1.000000001194
67 0.167500 1.000000001288
68 0.170000 1.000000001367
69 0.172500 1.000000001428
70 0.175000 1.000000001472
71 0.177500 1.000000001497
72 0.180000 1.000000001501
73 0.182500 1.000000001483
74 0.185000 1.000000001441
75 0.187500 1.000000001372
76 0.190000 1.000000001272
77 0.192500 1.000000001140
78 0.195000 1.000000000975
79 0.197500 1.000000000774
80 0.200000 1.000000000541
81 0.202500 1.000000000275
82 0.205000 0.999999999979
83 0.207500 0.999999999658
84 0.210000 0.999999999313
85 0.212500 0.999999998952
86 0.215000 0.999999998579
87 0.217500 0.999999998201
88 0.220000 0.999999997824
89 0.222500 0.999999997455
90 0.225000 0.999999997101
91 0.227500 0.999999996770
92 0.230000 0.999999996468
93 0.232500 0.999999996203
94 0.235000 0.999999995978
95 0.237500 0.999999995799
96 0.240000 0.999999995670
97 0.242500 0.999999995592
98 0.245000 0.999999995568
99 0.247500 0.999999995598
100 0.250000 0.999999995684
101 0.252500 0.999999995825
102 0.255000 0.999999996020
103 0.257500 0.999999996268
104 0.260000 0.999999996566
105 0.262500 0.999999996910
106 0.265000 0.999999997297
107 0.267500 0.999999997722
108 0.270000 0.999999998182
109 0.272500 0.999999998670
110 0.275000 0.999999999181
111 0.277500 0.999999999710
112 0.280000 1.000000000249
113 0.282500 1.000000000792
114 0.285000 1.000000001331
115 0.287500 1.000000001861
116 0.290000 1.000000002373
117 0.292500 1.000000002862
118 0.295000 1.000000003322
119 0.297500 1.000000003748
120 0.300000 1.000000004134
121 0.302500 1.000000004476
122 0.305000 1.000000004768
123 0.307500 1.000000005008
124 0.310000 1.000000005193
125 0.312500 1.000000005319
126 0.315000 1.000000005385
127 0.317500 1.000000005392
128 0.320000 1.000000005340
129 0.322500 1.000000005231
130 0.325000 1.000000005067
131 0.327500 1.000000004852
132 0.330000 1.000000004590
133 0.332500 1.000000004286
134 0.335000 1.000000003945
135 0.337500 1.000000003573
136 0.340000 1.000000003173
