# l[58]( l_58(t) ) connection: point33-point34
n t l_58(t)
0 0 0.999999999993
0 0.000000 0.999999999993
1 0.002500 0.999999999993
2 0.005000 0.999999999993
3 0.007500 0.999999999988
4 0.010000 0.999999999967
5 0.012500 0.999999999890
6 0.015000 0.999999999667
7 0.017500 0.999999999123
8 0.020000 0.999999997945
9 0.022500 0.999999995619
10 0.025000 0.999999991353
11 0.027500 0.999999983991
12 0.030000 0.999999971913
13 0.032500 0.999999952931
14 0.035000 0.999999924177
15 0.037500 0.999999882004
16 0.040000 0.999999821872
17 0.042500 0.999999738264
18 0.045000 0.999999624605
19 0.047500 0.999999473207
20 0.050000 0.999999275234
21 0.052500 0.999999020701
22 0.055000 0.999998698505
23 0.057500 0.999998296491
24 0.060000 0.999997801560
25 0.062500 0.999997199812
26 0.065000 0.999996476733
27 0.067500 0.999995617422
28 0.070000 0.999994606852
29 0.072500 0.999993430166
30 0.075000 0.999992073003
31 0.077500 0.999990521842
32 0.080000 0.999988764370
33 0.082500 0.999986789853
34 0.085000 0.999984589505
35 0.087500 0.999982156856
36 0.090000 0.999979488092
37 0.092500 0.999976582378
38 0.095000 0.999973442130
39 0.097500 0.999970073253
40 0.100000 0.999966485323
41 0.102500 0.999962691698
42 0.105000 0.999958709574
43 0.107500 0.999954559961
44 0.110000 0.999950267585
45 0.112500 0.999945860707
46 0.115000 0.999941370876
47 0.117500 0.999936832592
48 0.120000 0.999932282906
49 0.122500 0.999927760948
50 0.125000 0.999923307395
51 0.127500 0.999918963890
52 0.130000 0.999914772413
53 0.132500 0.999910774633
54 0.135000 0.999907011228
55 0.137500 0.999903521211
56 0.140000 0.999900341259
57 0.142500 0.999897505067
58 0.145000 0.999895042735
59 0.147500 0.999892980210
60 0.150000 0.999891338782
61 0.152500 0.999890134655
62 0.155000 0.999889378606
63 0.157500 0.999889075728
64 0.160000 0.999889225273
65 0.162500 0.999889820601
66 0.165000 0.999890849224
67 0.167500 0.999892292966
68 0.170000 0.999894128217
69 0.172500 0.999896326295
70 0.175000 0.999898853889
71 0.177500 0.999901673596
72 0.180000 0.999904744526
73 0.182500 0.999908022977
74 0.185000 0.999911463148
75 0.187500 0.999915017899
76 0.190000 0.999918639523
77 0.192500 0.999922280528
78 0.195000 0.999925894406
79 0.197500 0.999929436378
80 0.200000 0.999932864097
81 0.202500 0.999936138302
82 0.205000 0.999939223397
83 0.207500 0.999942087965
84 0.210000 0.999944705187
85 0.212500 0.999947053169
86 0.215000 0.999949115178
87 0.217500 0.999950879764
88 0.220000 0.999952340793
89 0.222500 0.999953497376
90 0.225000 0.999954353695
91 0.227500 0.999954918747
92 0.230000 0.999955206003
93 0.232500 0.999955232990
94 0.235000 0.999955020820
95 0.237500 0.999954593653
96 0.240000 0.999953978142
97 0.242500 0.999953202839
98 0.245000 0.999952297598
99 0.247500 0.999951292980
100 0.250000 0.999950219676
101 0.252500 0.999949107955
102 0.255000 0.999947987160
103 0.257500 0.999946885244
104 0.260000 0.999945828375
105 0.262500 0.999944840597
106 0.265000 0.999943943571
107 0.267500 0.999943156377
108 0.270000 0.999942495405
109 0.272500 0.999941974302
110 0.275000 0.999941604001
111 0.277500 0.999941392809
112 0.280000 0.999941346558
113 0.282500 0.999941468798
114 0.285000 0.999941761040
115 0.287500 0.999942223027
116 0.290000 0.999942853021
117 0.292500 0.999943648111
118 0.295000 0.999944604510
119 0.297500 0.999945717840
120 0.300000 0.999946983407
121 0.302500 0.999948396429
122 0.305000 0.999949952243
123 0.307500 0.999951646449
124 0.310000 0.999953475020
125 0.312500 0.999955434351
126 0.315000 0.999957521253
127 0.317500 0.999959732898
128 0.320000 0.999962066708
129 0.322500 0.999964520196
130 0.325000 0.999967090772
131 0.327500 0.999969775506
132 0.330000 0.999972570867
133 0.332500 0.999975472451
134 0.335000 0.999978474695
135 0.337500 0.999981570598
136 0.340000 0.999984751462
137 0.342500 0.999988006651
138 0.345000 0.999991323394
139 0.347500 0.999994686629
140 0.350000 0.999998078906
141 0.352500 1.000001480348
142 0.355000 1.000004868683
143 0.357500 1.000008219343
144 0.360000 1.000011505642
145 0.362500 1.000014699020
146 0.365000 1.000017769366
147 0.367500 1.000020685403
148 0.370000 1.000023415131
149 0.372500 1.000025926336
150 0.375000 1.000028187124
151 0.377500 1.000030166501
152 0.380000 1.000031834967
153 0.382500 1.000033165119
154 0.385000 1.000034132244
155 0.387500 1.000034714892
156 0.390000 1.000034895416
157 0.392500 1.000034660457
158 0.395000 1.000034001373
159 0.397500 1.000032914595
160 0.400000 1.000031401892
161 0.402500 1.000029470553
162 0.405000 1.000027133467
163 0.407500 1.000024409096
164 0.410000 1.000021321354
165 0.412500 1.000017899367
166 0.415000 1.000014177146
167 0.417500 1.000010193151
168 0.420000 1.000005989776
169 0.422500 1.000001612745
170 0.425000 0.999997110446
171 0.427500 0.999992533211
172 0.430000 0.999987932547
173 0.432500 0.999983360349
174 0.435000 0.999978868102
175 0.437500 0.999974506093
176 0.440000 0.999970322637
177 0.442500 0.999966363357
178 0.445000 0.999962670507
179 0.447500 0.999959282370
180 0.450000 0.999956232734
181 0.452500 0.999953550462
182 0.455000 0.999951259157
183 0.457500 0.999949376939
184 0.460000 0.999947916323
185 0.462500 0.999946884221
186 0.465000 0.999946282035
187 0.467500 0.999946105869
188 0.470000 0.999946346835
189 0.472500 0.999946991446
190 0.475000 0.999948022093
191 0.477500 0.999949417584
192 0.480000 0.999951153741
193 0.482500 0.999953204029
194 0.485000 0.999955540209
195 0.487500 0.999958133002
196 0.490000 0.999960952732
197 0.492500 0.999963969953
198 0.495000 0.999967156033
199 0.497500 0.999970483676
200 0.500000 0.999973927392
201 0.502500 0.999977463877
202 0.505000 0.999981072317
203 0.507500 0.999984734601
204 0.510000 0.999988435435
205 0.512500 0.999992162368
206 0.515000 0.999995905723
207 0.517500 0.999999658440
208 0.520000 1.000003415833
209 0.522500 1.000007175284
210 0.525000 1.000010935862
211 0.527500 1.000014697900
212 0.530000 1.000018462534
213 0.532500 1.000022231215
214 0.535000 1.000026005222
215 0.537500 1.000029785180
216 0.540000 1.000033570597
217 0.542500 1.000037359448
218 0.545000 1.000041147806
219 0.547500 1.000044929536
220 0.550000 1.000048696067
221 0.552500 1.000052436245
222 0.555000 1.000056136276
223 0.557500 1.000059779762
224 0.560000 1.000063347831
225 0.562500 1.000066819362
226 0.565000 1.000070171297
227 0.567500 1.000073379037
228 0.570000 1.000076416915
229 0.572500 1.000079258728
230 0.575000 1.000081878324
231 0.577500 1.000084250224
232 0.580000 1.000086350263
233 0.582500 1.000088156239
234 0.585000 1.000089648549
235 0.587500 1.000090810795
236 0.590000 1.000091630344
237 0.592500 1.000092098830
238 0.595000 1.000092212578
239 0.597500 1.000091972939
240 0.600000 1.000091386532
241 0.602500 1.000090465368
242 0.605000 1.000089226873
243 0.607500 1.000087693781
244 0.610000 1.000085893921
245 0.612500 1.000083859883
246 0.615000 1.000081628568
247 0.617500 1.000079240645
248 0.620000 1.000076739909
249 0.622500 1.000074172559
250 0.625000 1.000071586407
251 0.627500 1.000069030046
252 0.630000 1.000066551974
253 0.632500 1.000064199711
254 0.635000 1.000062018917
255 0.637500 1.000060052539
256 0.640000 1.000058339992
257 0.642500 1.000056916406
258 0.645000 1.000055811948
259 0.647500 1.000055051232
260 0.650000 1.000054652838
261 0.652500 1.000054628941
262 0.655000 1.000054985063
263 0.657500 1.000055719957
264 0.660000 1.000056825615
265 0.662500 1.000058287409
266 0.665000 1.000060084355
267 0.667500 1.000062189505
268 0.670000 1.000064570438
269 0.672500 1.000067189861
270 0.675000 1.000070006293
271 0.677500 1.000072974819
272 0.680000 1.000076047900
273 0.682500 1.000079176218
274 0.685000 1.000082309548
275 0.687500 1.000085397614
276 0.690000 1.000088390944
277 0.692500 1.000091241676
278 0.695000 1.000093904320
279 0.697500 1.000096336450
280 0.700000 1.000098499310
281 0.702500 1.000100358341
282 0.705000 1.000101883591
283 0.707500 1.000103050034
284 0.710000 1.000103837769
285 0.712500 1.000104232110
286 0.715000 1.000104223569
287 0.717500 1.000103807732
288 0.720000 1.000102985038
289 0.722500 1.000101760470
290 0.725000 1.000100143166
291 0.727500 1.000098145967
292 0.730000 1.000095784915
293 0.732500 1.000093078714
294 0.735000 1.000090048170
295 0.737500 1.000086715626
296 0.740000 1.000083104414
297 0.742500 1.000079238322
298 0.745000 1.000075141107
299 0.747500 1.000070836061
300 0.750000 1.000066345630
301 0.752500 1.000061691111
302 0.755000 1.000056892419
303 0.757500 1.000051967940
304 0.760000 1.000046934459
305 0.762500 1.000041807169
306 0.765000 1.000036599766
307 0.767500 1.000031324599
308 0.770000 1.000025992895
309 0.772500 1.000020615033
310 0.775000 1.000015200863
311 0.777500 1.000009760049
312 0.780000 1.000004302432
313 0.782500 0.999998838394
314 0.785000 0.999993379210
315 0.787500 0.999987937371
316 0.790000 0.999982526871
317 0.792500 0.999977163441
318 0.795000 0.999971864723
319 0.797500 0.999966650363
320 0.800000 0.999961542041
321 0.802500 0.999956563402
322 0.805000 0.999951739915
323 0.807500 0.999947098635
324 0.810000 0.999942667886
325 0.812500 0.999938476871
326 0.815000 0.999934555201
327 0.817500 0.999930932370
328 0.820000 0.999927637182
329 0.822500 0.999924697132
330 0.825000 0.999922137775
331 0.827500 0.999919982088
332 0.830000 0.999918249836
333 0.832500 0.999916956973
334 0.835000 0.999916115081
335 0.837500 0.999915730874
336 0.840000 0.999915805769
337 0.842500 0.999916335551
338 0.845000 0.999917310133
339 0.847500 0.999918713425
340 0.850000 0.999920523318
341 0.852500 0.999922711791
342 0.855000 0.999925245131
343 0.857500 0.999928084286
